"","x","y","aridity","bio1","bio2","bio12","bio15","bio20","bedrockDepth","bulkDensity1_4","clay1_4","ph1_4","silt1_4"
"91",10495142.6490294,-3884952.15192635,-843,178,115,956,83,99,278,1396,192,630,112
"92",10345142.6490294,-4194952.15192635,-526,148,95,1077,65,141,210,1077,150,508,103
"93",10645142.6490294,-4124952.15192635,-777,161,118,520,35,321,235,1322,201,666,108
"94",10295142.6490294,-4124952.15192635,-659,160,99,956,78,103,350,1130,143,567,92
"95",10285142.6490294,-4124952.15192635,-663,162,98,977,79,99,365,1141,146,568,90
"96",10955142.6490294,-4064952.15192635,-905,165,132,508,37,276,192,1442,191,705,96
"97",10695142.6490294,-4104952.15192635,-682,162,107,492,36,323,220,1284,179,649,107
"98",10315142.6490294,-4204952.15192635,-516,155,95,1196,68,128,237,1114,166,537,112
"99",10315142.6490294,-4134952.15192635,-600,154,98,1053,72,112,276,1114,148,543,107
"100",10945142.6490294,-4094952.15192635,-776,165,116,610,50,232,240,1362,188,648,102
"101",10525142.6490294,-4114952.15192635,-986,158,127,353,45,264,238,1482,228,733,88
"102",10375142.6490294,-4194952.15192635,-590,148,103,916,59,169,190,1125,146,527,105
"103",10295142.6490294,-4194952.15192635,-537,155,98,1251,71,117,286,1122,170,561,106
"104",10545142.6490294,-4164952.15192635,-773,157,120,524,35,316,211,1380,195,679,91
"105",10995142.6490294,-4104952.15192635,-713,161,110,599,45,255,283,1322,189,647,140
"106",10715142.6490294,-4084952.15192635,-855,165,118,440,32,345,219,1326,186,666,104
"107",10345142.6490294,-4074952.15192635,-776,162,113,886,81,93,305,1259,158,603,103
"108",10605142.6490294,-4154952.15192635,-706,160,113,601,40,294,224,1347,195,652,101
"109",10265142.6490294,-4114952.15192635,-660,167,96,1135,81,103,334,1228,178,596,107
"110",10295142.6490294,-4134952.15192635,-644,159,100,1006,76,106,317,1151,150,565,88
"111",10455142.6490294,-4204952.15192635,-620,155,102,726,50,220,217,1252,172,592,99
"112",10655142.6490294,-4124952.15192635,-726,162,108,525,37,316,227,1304,182,655,118
"113",10275142.6490294,-4104952.15192635,-671,165,97,1104,82,101,332,1221,167,595,102
"114",10375142.6490294,-4224952.15192635,-496,153,94,1046,59,172,218,1143,186,574,122
"115",10285142.6490294,-4144952.15192635,-645,162,100,1039,76,105,309,1195,169,579,93
