"","x","y","aridity","bio1","bio2","bio12","bio15","bio20","bedrockDepth","bulkDensity1_4","clay1_4","ph1_4","silt1_4"
"1",10565142.6490294,3675047.84807365,-58,172,86,1397,56,790,165,1386,249,609,438
"2",9955142.64902937,4835047.84807365,-443,77,118,556,126,976,146,1294,160,682,411
"3",10825142.6490294,5195047.84807365,-181,42,108,674,73,887,289,1227,203,577,491
"4",11095142.6490294,4515047.84807365,-57,94,104,1302,97,917,191,1272,191,566,412
"5",9845142.64902937,4815047.84807365,-586,115,120,510,132,982,175,1343,164,747,396
"6",9665142.64902937,5905047.84807365,-219,7,118,548,97,941,202,1094,240,617,379
"7",9175142.64902937,6275047.84807365,-134,-31,119,564,98,954,87,1013,204,574,423
"8",12065142.6490294,4175047.84807365,-9,154,94,1525,49,783,143,1264,234,567,422
"9",9185142.64902937,6265047.84807365,-146,-29,122,560,98,953,129,1026,233,592,401
"10",12295142.6490294,4285047.84807365,0,151,89,1580,45,777,170,1263,247,592,341
